code	ingredients_text
8237798	 AMIDON DE MAIS MODIFIE
8237798	 EPICES
8237798	 SEL
8237798	 CITRATE DE SODIUM
8237798	 PHOSPHATE DE SODIUM
8237798	 CARRAGHENINE
8237798	 GOMME DE CAROUBE
8237798	 CROUTE 
8237798	FARINE
8237798	 SHORTENING D'HUILE DE PALME ET DE CANOLA
8237798	 EAU
8237798	 DEXTROSE
8237798	 SEL
8237798	 LEVURE
8237798	 HUILE VEGETALE
8237798	 L-CYSTEINE
8237798	 PROPIONATE DE SODIUM
8237798	 FROMAGES CHEDDAR ET MONTEREY 
8237798	SUBSTANCES LAITIERES MODIFIEES
8237798	 CULTURE BACTERIENNE
8237798	 SEL
8237798	 ENZYME MICROBIEN
8237798	 CHLORURE DE CALCIUM
8237798	 CELLULOSE
8237798	 COLORANT
8237798	 NATAMYCINE
8237798	 PERSIL SECHE
8237798	 CONTIENT 2 OEUF
8237798	 BLE
8237798	 LAIT
8237798	  PEUT CONTENIRZ POISSON
8237798	 MOLLUSQUES
8237798	 CRUSTACES
8237798	 NOIX  VARIEES
8237798	 SESAME
8237798	 MOUTARDE
8237798	 SOYA
8237798	 SULFITES
10090206	Thé noir de Chine
10090206	 zestes d'oranges 7
10090206	 arômes naturels 
10090206	cannelle 4
10090206	 orange 4
10090206	 poudre de cannelle 3
10127735	Sirop saveur pistache 5 cl : sirop 99
10127735	sucre cristallisé
10127735	 eau
10127735	 arôme
10127735	 acidifiant : acide citrique E330
10127735	 denrée alimentaire colorante 
10127735	concentrés de carthame
10127735	 pomme
10127735	 colorant : mélange d'additifs : E171
10127735	 Sirop saveur framboise 5 cl : sirop 93
10127735	sucre
10127735	 eau
10127735	 denrée alimentaire colorante 
10127735	concentrés de patate douce
10127735	 cerise
10127735	 pomme
10127735	 radis
10127735	 carthame
10127735	 arôme naturel
10127735	 acidifiant : acide citrique E330
10127735	 colorant : mélange d'additifs : E171
10127735	 Sirop saveur citron 5 cl : sirop 98
10127735	sucre cristallisé
10127735	 eau
10127735	 arôme naturel
10127735	 acidifiant : acide citrique E330
10127735	 denrée alimentaire colorante 
10127735	concentré de pomme
10127735	 carthame
10127735	 colorant : mélange d'additifs : E171
10127735	 Sirop saveur violette 4 cl : sirop 88
10127735	sucre
10127735	 eau
10127735	 arôme
10127735	 acidifiant : acide citrique E330
10127735	 denrée alimentaire colorante 
10127735	concentré de cassis
10127735	 carotte
10127735	 pomme
10127735	 colorant : mélange d'additifs : E131
20004552	Vin rouge
20004552	 sec
20004552	 Contient des _sulfites_
20424640	Zucker
20424640	 Kakaomasse
20424640	 Kakaobutter
20424640	 _Vollmilchpulver_
20424640	 Palmöl
20424640	 Karamellzubereitung 
20424640	Glukosesirup
20424640	 Palmöl
20424640	 Zucker
20424640	 _Vollmilchpulver_
20424640	 Wasser
20424640	 Emulgator: Lecithine 
20424640	_Soja_
20424640	 Aroma
20424640	 Speisesalz
20424640	 Glukose-Fruktose-Sirup
20424640	 _Butterreinfett_
20424640	 Marzipan 
20424640	Zucker
20424640	 _Mandeln
20424640	 Dextrose
20424640	 Feuchthaltemittel: Glycerin
20424640	 Sorbit
20424640	 Dextrose
