code	categories
27083	
50913	
56434	
290616	1
394710	2
394710	3
394710	4
673358	
1798180	
1938067	2
1938067	3
1938067	4
4302544	5
5200016	6
5200016	7
5200016	8
5200016	9
5200016	10
5200016	11
5200016	12
5200016	13
5200016	14
7020254	15
7020254	16
7020254	17
7020254	18
7020254	19
7730009	2
7730009	3
7730009	20
7730009	21
8237798	22
10090206	6
10090206	15
10090206	7
10090206	23
10090206	24
10090206	25
10090206	26
10090206	27
10090206	28
10090206	29
10127735	30
10127735	31
20004552	15
20004552	32
20004552	33
20004552	34
20004552	35
20004552	36
20004552	37
20424640	38
27533024	39
27533024	40
27533024	41
40608754	42
50985098	
54491472	
54491496	
75001629	
80007838	
80135876	
84154071	43
84154071	44
84154071	45
84154071	46
87177756	47
87177756	18
204286484	48
2929	49
2929	50
2929	51
30	52
30	53
30	54
31	2
31	39
31	3
31	54
31	4
31	55
3100	56
460938714	48
470322800	48
50	2
50	3
50	39
50	54
50	4
50	57
51	2
51	3
51	39
51	54
51	4
51	58
526938306	48
790310013	59
790310013	60
790310013	61
790310020	59
790310020	60
790310020	61
104	54
104	62
11501	6
11501	7
11501	63
11501	64
11501	65
11501	66
11501	67
11501	68
11501	69
11679	70
11686	71
11686	72
11693	2
11693	3
11693	20
11693	71
11709	71
11709	72
11730	71
11754	2
11754	3
11754	20
11754	71
11778	71
11815	71
12444	73
12444	74
12444	75
13029	76
13029	77
13029	78
13029	79
13029	80
13029	81
13029	82
14472	
16063	83
16063	84
18097	6
18097	7
18097	85
18097	86
18097	87
18097	88
18097	89
18097	1
18097	90
18097	91
18166	92
18166	93
19170	94
19170	95
19170	96
19170	97
19170	98
19170	99
19170	100
19170	101
2042861915	48
227	102
227	4
227	103
23092	71
23092	104
24679	105
25157	106
25157	107
25157	108
25157	109
25157	110
25157	111
25157	112
25751	113
25751	114
25751	115
25751	116
28264	117
28264	118
28264	119
28264	120
2983542515	48
31858	6
31858	7
31858	86
31858	107
31858	121
31858	122
31858	123
31858	124
33046	125
36559	126
41500007007	127
41500007007	64
41500007007	128
41500007007	129
43366	6
43366	7
43366	107
43366	130
43366	131
43366	132
43366	133
4394	134
53327	94
53327	95
53327	135
53327	136
53327	137
53327	138
64491	139
65269	140
65269	141
68789	142
68789	143
68789	144
71093	2
71093	145
71093	146
71093	147
71093	148
71093	149
71185	2
71185	145
71185	150
71185	151
71185	146
73455	107
73455	152
73455	153
73455	154
73455	155
73899	81
74742	156
76630	94
76630	95
76630	96
76630	97
76630	98
76630	157
76630	158
76630	159
78115	82
8274000078	160
8274000078	161
8274000078	162
8274000078	163
8274000078	17
8274000078	164
8274000078	165
8274000078	166
8295616241	167
88862	94
88862	95
88862	135
88862	136
88862	137
88978	6
88978	15
88978	168
88978	27
88978	169
90100	107
90100	170
90100	171
90100	152
90100	172
9073102963	
9138378043	61
9138378043	173
9300003346	174
9300128896	175
9300128896	174
9542018054	59
9542018054	176
9542018054	177
9542018061	59
9542018061	176
9542018061	177
9542018085	178
9800801107	179
9800892204	180
9800892204	93
9800892204	181
9800892204	182
9800892204	183
9800892204	184
9800892204	179
9800895007	179
9800895250	185
99233	2
99233	3
99233	186
99233	187
99233	20
99233	188
99233	189
99332	85
99332	107
99332	190
99332	191
99332	192
99332	193
99332	194
104456	195
104456	196
104456	197
10700021526	59
10700021526	60
10700021526	61
10700024404	59
10700024404	60
10700024404	61
10700024404	198
10700024404	176
10700088130	59
10700088130	60
10700088130	61
10852997489	199
10852997489	200
11110001207	94
11110001207	95
11110001207	135
11110001207	201
11110001986	94
11110001986	95
11110001986	135
11110001986	201
11110019516	
11110020109	94
11110020109	95
11110020109	135
11110020109	201
