code	idIngrediente
27083	1
27083	2
27083	3
27083	4
27083	5
27083	6
27083	7
27083	8
27083	9
27083	10
27083	11
27083	12
27083	13
27083	14
27083	15
27083	16
27083	17
27083	18
27083	19
27083	20
50913	21
50913	2
50913	22
50913	23
50913	24
50913	25
50913	11
50913	26
50913	27
50913	28
50913	2
50913	24
50913	22
50913	29
50913	11
50913	27
50913	30
50913	31
50913	32
50913	33
50913	34
50913	35
50913	36
50913	37
50913	2
50913	22
50913	26
50913	29
50913	11
50913	23
50913	27
50913	30
50913	38
50913	39
50913	40
50913	11
50913	41
50913	42
50913	43
50913	44
50913	45
50913	46
50913	26
50913	23
50913	47
50913	48
50913	49
50913	50
50913	51
50913	52
50913	24
50913	27
50913	53
50913	54
50913	55
50913	56
50913	57
50913	58
50913	59
50913	60
56434	61
56434	62
56434	55
56434	63
56434	64
56434	65
290616	66
290616	67
290616	68
290616	69
290616	70
290616	71
290616	72
290616	73
290616	74
290616	75
290616	76
290616	77
290616	72
290616	78
290616	79
290616	80
290616	81
290616	69
290616	82
290616	83
290616	74
290616	84
290616	85
290616	86
290616	87
290616	88
290616	89
290616	90
290616	91
290616	92
290616	93
290616	94
290616	95
290616	96
290616	97
290616	98
290616	99
290616	100
394710	101
394710	79
394710	69
394710	104
394710	92
394710	106
394710	90
394710	108
394710	109
394710	74
394710	111
394710	112
394710	113
394710	114
394710	96
394710	116
394710	117
394710	118
394710	119
394710	120
394710	121
394710	122
394710	123
394710	124
394710	125
394710	126
394710	127
394710	128
394710	74
394710	129
394710	130
394710	131
394710	132
394710	133
394710	74
394710	134
394710	135
394710	136
394710	137
394710	138
394710	139
394710	140
394710	141
673358	2
673358	45
673358	142
673358	143
673358	144
673358	145
673358	146
673358	55
673358	147
673358	148
673358	149
673358	150
673358	151
673358	152
673358	153
673358	154
673358	155
673358	156
673358	157
673358	158
1798180	159
1938067	160
1938067	79
1938067	161
1938067	69
1938067	92
1938067	74
1938067	162
1938067	163
1938067	164
1938067	165
1938067	69
1938067	92
1938067	166
1938067	124
1938067	139
1938067	167
1938067	74
1938067	168
1938067	169
1938067	135
1938067	170
1938067	92
4302544	171
4302544	69
4302544	74
4302544	90
4302544	172
5200016	173
7020254	174
7020254	175
7020254	176
7020254	177
7020254	178
7020254	179
7730009	119
7730009	181
7730009	182
7730009	183
7730009	184
7730009	185
7730009	186
7730009	187
7730009	188
7730009	189
7730009	190
7730009	191
7730009	192
7730009	193
7730009	74
7730009	194
7730009	195
8237798	196
8237798	197
8237798	198
8237798	199
8237798	200
8237798	74
8237798	92
8237798	52
8237798	202
8237798	203
8237798	204
8237798	205
8237798	206
8237798	207
8237798	208
8237798	74
8237798	209
8237798	210
8237798	168
8237798	212
8237798	213
8237798	214
8237798	215
8237798	216
8237798	74
8237798	217
8237798	218
8237798	219
8237798	136
8237798	221
8237798	79
8237798	222
8237798	69
8237798	52
8237798	74
8237798	90
8237798	223
8237798	224
8237798	225
8237798	226
8237798	208
8237798	209
8237798	74
8237798	210
8237798	168
8237798	213
8237798	141
8237798	212
8237798	228
8237798	229
8237798	230
8237798	231
8237798	232
8237798	233
8237798	234
8237798	235
8237798	236
8237798	237
8237798	238
8237798	170
10090206	240
10090206	241
10090206	242
10090206	243
10090206	244
10090206	245
10127735	246
10127735	247
10127735	69
10127735	248
10127735	249
10127735	250
10127735	251
10127735	252
10127735	253
10127735	254
10127735	119
10127735	69
10127735	250
10127735	255
10127735	256
10127735	252
10127735	257
10127735	258
10127735	259
10127735	249
10127735	253
10127735	260
10127735	247
10127735	69
10127735	259
10127735	249
10127735	250
10127735	261
10127735	258
10127735	253
10127735	262
10127735	119
10127735	69
10127735	248
10127735	249
10127735	250
10127735	263
10127735	264
10127735	252
10127735	265
20004552	266
20004552	267
20004552	268
20424640	269
20424640	270
20424640	271
20424640	272
20424640	273
20424640	274
20424640	275
20424640	273
20424640	276
20424640	272
20424640	277
20424640	278
20424640	279
20424640	280
20424640	281
20424640	282
20424640	283
20424640	284
20424640	269
20424640	285
20424640	52
20424640	287
20424640	288
20424640	52
20424640	289
